Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,122.290001,123.110001,121.730003,122.459999,115.922997,435000
2017-01-04,122.610001,123.379997,122.610001,123.199997,116.623497,447600
2017-01-05,123.040001,123.750000,122.870003,123.290001,116.708687,579400
2017-01-06,123.360001,124.690002,123.099998,124.419998,117.778351,392000
2017-01-09,124.550003,124.980003,124.459999,124.639999,117.986595,321000
2017-01-10,124.650002,125.129997,124.300003,124.629997,117.977150,322300
2017-01-11,124.650002,125.389999,124.419998,125.389999,118.696571,459700
2017-01-12,125.010002,125.480003,123.690002,125.010002,118.336861,326700
2017-01-13,125.059998,125.699997,125.000000,125.500000,118.800713,374300
2017-01-17,125.180000,125.220001,124.459999,124.800003,118.138077,354100
2017-01-18,125.050003,125.370003,124.720001,125.279999,118.592445,505700
2017-01-19,125.169998,125.709999,124.769997,124.919998,118.251686,315000
2017-01-20,125.529999,125.889999,125.239998,125.589996,118.885902,343700
2017-01-23,125.470001,125.779999,124.849998,125.650002,118.942688,2578300
2017-01-24,125.879997,127.220001,125.820000,126.989998,120.211166,426400
2017-01-25,127.910004,128.399994,127.809998,128.350006,121.498573,459600
2017-01-26,128.529999,128.589996,127.639999,128.029999,121.195656,732100
2017-01-27,128.419998,128.600006,128.119995,128.389999,121.536446,335800
2017-01-30,127.989998,127.989998,126.570000,127.349998,120.551941,452000
2017-01-31,126.820000,126.959999,126.059998,126.739998,119.974525,531400
2017-02-01,127.970001,128.089996,127.000000,127.650002,120.835938,668200
2017-02-02,127.400002,128.020004,126.849998,127.709999,120.892746,387600
2017-02-03,128.389999,128.880005,128.289993,128.729996,121.858276,353900
2017-02-06,128.610001,128.910004,128.289993,128.910004,122.028694,388000
2017-02-07,129.149994,129.669998,129.039993,129.369995,122.464104,455600
2017-02-08,129.369995,129.839996,128.949997,129.589996,122.672371,346300
2017-02-09,129.589996,130.500000,129.589996,130.220001,123.268745,377500
2017-02-10,130.539993,130.759995,130.089996,130.529999,123.562195,381400
2017-02-13,130.970001,131.470001,130.970001,131.250000,124.243782,493200
2017-02-14,131.160004,131.740005,130.820007,131.720001,124.688675,592800
2017-02-15,131.820007,132.399994,131.600006,132.300003,125.237701,416900
2017-02-16,132.550003,132.850006,132.119995,132.479996,125.408112,466100
2017-02-17,132.320007,132.869995,132.119995,132.869995,125.777275,286800
2017-02-21,133.229996,133.699997,133.139999,133.660004,126.525146,524000
2017-02-22,133.520004,133.850006,133.229996,133.830002,126.686035,391900
2017-02-23,134.039993,134.039993,132.899994,133.520004,126.392624,338900
2017-02-24,132.649994,133.789993,132.429993,133.789993,126.648163,455500
2017-02-27,133.679993,133.850006,133.339996,133.820007,126.676575,556700
2017-02-28,133.690002,133.690002,132.850006,133.000000,125.900322,576400
2017-03-01,133.710007,135.070007,133.649994,134.869995,127.670525,388900
2017-03-02,134.809998,134.809998,133.800003,133.869995,126.723877,335700
2017-03-03,133.850006,134.110001,133.429993,134.100006,126.941650,305700
2017-03-06,133.570007,134.059998,133.279999,133.850006,126.704971,404500
2017-03-07,133.690002,134.449997,133.610001,133.960007,126.809120,608000
2017-03-08,134.050003,134.529999,133.929993,134.119995,126.960548,315600
2017-03-09,134.130005,134.210007,133.339996,134.039993,126.884796,346300
2017-03-10,134.729996,134.949997,134.160004,134.729996,127.537994,276900
2017-03-13,134.699997,135.000000,134.649994,134.910004,127.708420,278000
2017-03-14,134.699997,134.699997,133.960007,134.539993,127.358131,273400
2017-03-15,134.800003,135.679993,134.350006,135.399994,128.172241,347400
2017-03-16,136.009995,136.119995,135.470001,135.770004,128.522507,414500
2017-03-17,136.190002,136.300003,135.789993,135.789993,128.541397,284100
2017-03-20,135.940002,136.309998,135.589996,135.970001,128.711838,428600
2017-03-21,136.490005,136.669998,133.660004,133.779999,126.638695,540500
2017-03-22,133.699997,134.850006,133.679993,134.789993,127.594788,381400
2017-03-23,134.470001,134.940002,134.160004,134.460007,127.282425,348300
2017-03-24,134.639999,135.050003,133.690002,134.190002,127.370659,426400
2017-03-27,133.119995,134.550003,132.710007,134.289993,127.465599,397800
2017-03-28,134.309998,135.580002,133.940002,135.220001,128.348328,552300
2017-03-29,135.179993,135.630005,134.880005,135.539993,128.652084,458000
2017-03-30,135.649994,135.919998,135.399994,135.679993,128.784958,341700
2017-03-31,135.589996,136.009995,135.360001,135.630005,128.737488,640600
2017-04-03,135.679993,135.960007,134.449997,135.229996,128.357819,644500
2017-04-04,134.759995,135.240005,134.729996,135.149994,128.281876,348500
2017-04-05,135.460007,136.259995,134.449997,134.660004,127.816788,388200
2017-04-06,134.789993,135.110001,134.320007,134.720001,127.873756,375100
2017-04-07,134.660004,135.029999,134.210007,134.630005,127.788338,292100
2017-04-10,134.800003,135.199997,134.250000,134.559998,127.721878,371600
2017-04-11,134.339996,134.490005,132.869995,134.089996,127.275810,380100
2017-04-12,133.990005,134.059998,133.229996,133.399994,126.620842,252300
2017-04-13,133.279999,134.160004,132.880005,132.899994,126.146233,264300
2017-04-17,133.250000,134.190002,133.250000,134.160004,127.342209,316300
2017-04-18,133.770004,134.369995,133.570007,134.130005,127.313736,279700
2017-04-19,134.490005,134.910004,133.929993,134.149994,127.332695,282300
2017-04-20,134.710007,135.750000,134.440002,135.509995,128.623627,292100
2017-04-21,135.570007,135.690002,135.149994,135.410004,128.528702,372300
2017-04-24,136.889999,137.289993,136.679993,137.210007,130.237228,422300
2017-04-25,137.639999,138.320007,137.339996,138.059998,131.043991,903900
2017-04-26,138.089996,138.289993,137.610001,137.740005,130.740280,726800
2017-04-27,138.240005,138.610001,138.050003,138.589996,131.547058,378100
2017-04-28,139.119995,139.199997,138.470001,138.800003,131.746399,471100
2017-05-01,139.289993,140.210007,139.059998,140.039993,132.923370,385400
2017-05-02,140.360001,140.539993,139.839996,140.320007,133.189209,554000
2017-05-03,140.039993,140.210007,139.440002,140.070007,132.951859,634600
2017-05-04,140.149994,140.479996,139.800003,140.270004,133.141754,633400
2017-05-05,140.550003,140.919998,140.100006,140.919998,133.758698,324300
2017-05-08,140.960007,141.490005,140.779999,141.389999,134.204803,373500
2017-05-09,141.619995,142.059998,141.410004,141.690002,134.489532,516600
2017-05-10,141.850006,142.360001,141.529999,142.240005,135.011612,446600
2017-05-11,141.910004,142.100006,141.190002,142.050003,134.831238,519000
2017-05-12,142.110001,142.460007,141.940002,142.440002,135.201447,389200
2017-05-15,142.639999,143.399994,142.559998,143.399994,136.112671,395600
2017-05-16,143.669998,144.199997,143.210007,144.199997,136.871994,458000
2017-05-17,142.919998,143.080002,139.979996,140.050003,132.932907,2570900
2017-05-18,139.750000,141.220001,139.300003,140.729996,133.578339,794800
2017-05-19,141.399994,142.039993,141.369995,141.529999,134.337662,408200
2017-05-22,141.960007,143.050003,141.940002,142.979996,135.714020,456900
2017-05-23,143.460007,143.529999,142.699997,143.100006,135.827927,426700
2017-05-24,143.520004,143.899994,143.250000,143.800003,136.492310,356300
2017-05-25,144.429993,145.270004,144.100006,144.960007,137.593369,418000
2017-05-26,144.970001,145.009995,144.460007,144.960007,137.593369,346800
2017-05-30,144.880005,145.429993,144.800003,145.320007,137.935104,328000
2017-05-31,145.770004,145.839996,144.369995,144.919998,137.555389,512000
2017-06-01,145.369995,145.630005,144.580002,145.630005,138.229294,291200
2017-06-02,146.110001,147.050003,145.600006,146.960007,139.491730,316700
2017-06-05,146.970001,147.570007,146.789993,147.119995,139.643600,335300
2017-06-06,146.949997,147.600006,146.649994,146.880005,139.415817,344500
2017-06-07,147.279999,147.509995,146.479996,147.199997,139.719528,442200
2017-06-08,147.570007,147.880005,146.800003,147.789993,140.279541,383600
2017-06-09,148.020004,148.259995,141.570007,143.690002,136.387924,1778900
2017-06-12,142.270004,142.940002,140.009995,142.600006,135.353317,1341500
2017-06-13,143.639999,144.339996,142.660004,143.839996,136.530289,530200
2017-06-14,144.500000,144.520004,141.860001,143.009995,135.742447,481100
2017-06-15,141.380005,142.509995,140.570007,142.339996,135.106476,521700
2017-06-16,142.199997,142.449997,141.449997,142.110001,134.888260,656600
2017-06-19,143.309998,144.470001,143.149994,144.399994,137.061829,427800
2017-06-20,144.330002,144.520004,143.179993,143.199997,135.922806,589000
2017-06-21,143.619995,144.210007,143.389999,144.169998,136.843521,274300
2017-06-22,144.699997,144.800003,143.720001,144.389999,137.052322,257200
2017-06-23,144.229996,145.800003,143.979996,145.339996,137.954071,473300
2017-06-26,146.259995,146.580002,144.429993,144.559998,137.213715,429800
2017-06-27,144.089996,144.179993,142.130005,142.130005,134.907211,568900
2017-06-28,142.229996,143.789993,141.300003,143.570007,136.664413,621600
2017-06-29,142.960007,142.960007,139.750000,141.029999,134.246536,660800
2017-06-30,141.520004,141.839996,140.699997,140.839996,134.065704,391100
2017-07-03,141.580002,141.710007,139.520004,139.699997,132.980545,420300
2017-07-05,140.160004,141.419998,139.789993,141.139999,134.351242,401100
2017-07-06,140.119995,140.610001,139.429993,139.869995,133.142380,383100
2017-07-07,140.320007,142.179993,140.320007,141.699997,134.884308,306400
2017-07-10,141.720001,143.100006,141.470001,142.729996,135.864761,387900
2017-07-11,142.600006,143.429993,142.190002,143.279999,136.388367,360000
2017-07-12,144.399994,145.350006,144.229996,145.240005,138.254059,550000
2017-07-13,145.470001,146.059998,145.190002,145.589996,138.587219,373900
2017-07-14,146.149994,146.960007,145.889999,146.779999,139.720001,374600
2017-07-17,146.990005,147.229996,146.500000,146.869995,139.805649,752500
2017-07-18,146.679993,147.570007,146.100006,147.570007,140.472000,358700
2017-07-19,147.860001,148.630005,147.750000,148.460007,141.319214,340300
2017-07-20,148.860001,148.860001,147.809998,148.600006,141.452484,288600
2017-07-21,148.020004,148.419998,147.750000,148.279999,141.147858,672100
2017-07-24,148.320007,149.009995,148.029999,148.869995,141.709457,350200
2017-07-25,148.389999,148.970001,147.899994,148.690002,141.538162,324500
2017-07-26,149.139999,149.220001,148.460007,148.960007,141.795166,330500
2017-07-27,149.779999,149.779999,145.779999,147.610001,140.510056,536300
2017-07-28,146.860001,147.729996,146.750000,147.399994,140.310165,396600
2017-07-31,147.720001,147.970001,146.429993,146.660004,139.605759,970300
2017-08-01,147.229996,147.470001,146.860001,147.440002,140.348221,477300
2017-08-02,148.800003,148.800003,146.600006,147.639999,140.538635,459800
2017-08-03,147.779999,147.800003,146.889999,147.229996,140.148361,263500
2017-08-04,147.539993,147.929993,147.199997,147.440002,140.348221,245400
2017-08-07,147.669998,148.389999,147.600006,148.339996,141.205002,237100
2017-08-08,148.089996,149.339996,147.779999,148.149994,141.024094,304200
2017-08-09,147.149994,148.100006,147.050003,148.009995,140.890823,372700
2017-08-10,147.199997,147.410004,144.770004,144.860001,137.892349,504600
2017-08-11,144.949997,146.350006,144.919998,146.000000,138.977539,401200
2017-08-14,147.279999,148.500000,147.169998,148.360001,141.224014,291700
2017-08-15,148.710007,148.889999,148.190002,148.649994,141.500031,261500
2017-08-16,149.000000,149.740005,148.639999,149.160004,141.985504,266500
2017-08-17,148.479996,148.830002,146.199997,146.199997,139.167892,426600
2017-08-18,146.169998,147.089996,145.559998,146.160004,139.129837,315900
2017-08-21,146.190002,146.320007,144.979996,145.990005,138.968002,703900
2017-08-22,146.770004,148.289993,146.720001,148.139999,141.014572,321100
2017-08-23,147.449997,148.240005,147.199997,147.869995,140.757584,267100
2017-08-24,148.330002,148.460007,147.070007,147.850006,140.738571,277900
2017-08-25,148.369995,148.759995,147.500000,147.750000,140.643326,220300
2017-08-28,148.160004,148.339996,147.630005,148.130005,141.005096,226100
2017-08-29,146.860001,148.970001,146.699997,148.729996,141.576218,790300
